stop_id,stop_name,stop_code,stop_lat,stop_lon,location_type,stop_url
598,"CNO MANUEL M FLORES - CNO DE LA CAPILLA",598,-34.842069,-56.298066,0,"https://m.montevideo.gub.uy/comoir/parada?numero=598"
599,"CNO MANUEL M FLORES - CNO DE LA CAPILLA",599,-34.842282,-56.297891,0,"https://m.montevideo.gub.uy/comoir/parada?numero=599"
600,"CNO MANUEL M FLORES - CNO DEL JEFE",600,-34.840794,-56.300872,0,"https://m.montevideo.gub.uy/comoir/parada?numero=600"
601,"CNO MANUEL M FLORES - CNO ZENDOTE",601,-34.838372,-56.305902,0,"https://m.montevideo.gub.uy/comoir/parada?numero=601"
602,"CNO MANUEL M FLORES - CNO ZENDOTE",602,-34.838401,-56.305956,0,"https://m.montevideo.gub.uy/comoir/parada?numero=602"
603,"CNO MANUEL M FLORES - SBRE DE 10 MTS",603,-34.835314,-56.312199,0,"https://m.montevideo.gub.uy/comoir/parada?numero=603"
604,"CNO MANUEL M FLORES - SBRE DE 10 MTS",604,-34.835314,-56.312364,0,"https://m.montevideo.gub.uy/comoir/parada?numero=604"
605,"CNO MANUEL M FLORES - SBRE DE 10 MTS",605,-34.834298,-56.314232,0,"https://m.montevideo.gub.uy/comoir/parada?numero=605"
606,"CNO MANUEL M FLORES - SBRE DE 10 MTS",606,-34.834227,-56.314456,0,"https://m.montevideo.gub.uy/comoir/parada?numero=606"
609,"CNO MANUEL M FLORES - CNO ANAYA",609,-34.831708,-56.319182,0,"https://m.montevideo.gub.uy/comoir/parada?numero=609"
610,"CNO MANUEL M FLORES - CNO GORI",610,-34.82343,-56.335606,0,"https://m.montevideo.gub.uy/comoir/parada?numero=610"
613,"CNO SANGUINETTI - CNO MANUEL M FLORES",613,-34.818231,-56.346899,0,"https://m.montevideo.gub.uy/comoir/parada?numero=613"
614,"CNO SANGUINETTI - CNO GDOR ANTONIO OLAGUER FELIU",614,-34.825371,-56.352133,0,"https://m.montevideo.gub.uy/comoir/parada?numero=614"
615,"CNO SANGUINETTI y CNO O´HIGGINS",615,-34.827947,-56.354175,0,"https://m.montevideo.gub.uy/comoir/parada?numero=615"
616,"CNO SANGUINETTI - CNO O´HIGGINS",616,-34.829605,-56.35551,0,"https://m.montevideo.gub.uy/comoir/parada?numero=616"
617,"CNO SANGUINETTI - CNO O´HIGGINS",617,-34.830128,-56.35573,0,"https://m.montevideo.gub.uy/comoir/parada?numero=617"
620,"CNO SANGUINETTI - CNO A PUNTA ESPINILLO",620,-34.834261,-56.358886,0,"https://m.montevideo.gub.uy/comoir/parada?numero=620"
621,"CNO SANGUINETTI - CNO A PUNTA ESPINILLO",621,-34.834498,-56.358952,0,"https://m.montevideo.gub.uy/comoir/parada?numero=621"
623,"CNO SANGUINETTI - CNO PAJAS BLANCAS",623,-34.839181,-56.362479,0,"https://m.montevideo.gub.uy/comoir/parada?numero=623"
625,"CNO SANGUINETTI - CNO VECINAL",625,-34.848449,-56.36935,0,"https://m.montevideo.gub.uy/comoir/parada?numero=625"
626,"CNO SANGUINETTI - CNO VECINAL",626,-34.85208,-56.372018,0,"https://m.montevideo.gub.uy/comoir/parada?numero=626"
627,"CNO SANGUINETTI - CARLIN BERTOLOTTI",627,-34.854688,-56.373919,0,"https://m.montevideo.gub.uy/comoir/parada?numero=627"
628,"CNO SANGUINETTI - CARLIN BERTOLOTTI",628,-34.856054,-56.37497,0,"https://m.montevideo.gub.uy/comoir/parada?numero=628"
629,"CNO SANGUINETTI - CARLIN BERTOLOTTI",629,-34.853652,-56.373181,0,"https://m.montevideo.gub.uy/comoir/parada?numero=629"
630,"CNO PAJAS BLANCAS - CNO CONDE",630,-34.84553,-56.361333,0,"https://m.montevideo.gub.uy/comoir/parada?numero=630"
631,"CNO PAJAS BLANCAS - CNO DE LOS ALVAREZ",631,-34.847443,-56.357567,0,"https://m.montevideo.gub.uy/comoir/parada?numero=631"
632,"CNO PAJAS BLANCAS - CNO DE LOS ALVAREZ",632,-34.847518,-56.357355,0,"https://m.montevideo.gub.uy/comoir/parada?numero=632"
633,"CNO PAJAS BLANCAS - CNO ECHEGARAY",633,-34.848999,-56.354637,0,"https://m.montevideo.gub.uy/comoir/parada?numero=633"
634,"CNO PAJAS BLANCAS - CNO ECHEGARAY",634,-34.849009,-56.354388,0,"https://m.montevideo.gub.uy/comoir/parada?numero=634"
635,"CNO PAJAS BLANCAS - CNO ELHORDOY",635,-34.850736,-56.351008,0,"https://m.montevideo.gub.uy/comoir/parada?numero=635"
636,"CNO PAJAS BLANCAS - CNO ELHORDOY",636,-34.850738,-56.350893,0,"https://m.montevideo.gub.uy/comoir/parada?numero=636"
637,"CNO PAJAS BLANCAS - CNO JUAN TORORA",637,-34.852165,-56.348177,0,"https://m.montevideo.gub.uy/comoir/parada?numero=637"
638,"CNO PAJAS BLANCAS - CNO JUAN TORORA",638,-34.852199,-56.348052,0,"https://m.montevideo.gub.uy/comoir/parada?numero=638"
